"","fname","province","IOIC","constrained","type","Direct.Multiplier","Indirect.Multiplier","Induced.Multiplier","Total.Multiplier"
"1","data/Alberta summary.xlsx","Alberta","Total Sector",TRUE,"Output",1,0.361933091705717,0.169597464920401,1.53153055662612
"2","data/Alberta summary.xlsx","Alberta","Total Sector",TRUE,"GDP",0.34413745239359,0.179034767936276,0.105476006401938,0.628648226731805
"3","data/Alberta summary.xlsx","Alberta","Total Sector",TRUE,"Jobs",0.00208596612228969,0.00116132519731027,0.000823527781760234,0.00407081910136019
"4","data/Alberta summary.xlsx","Alberta","Total Sector",FALSE,"Output",1,0.549563590818994,0.274128971123605,1.82369250828411
"5","data/Alberta summary.xlsx","Alberta","Total Sector",FALSE,"GDP",0.34413745239359,0.26846814848638,0.161734080224734,0.774339652655186
"6","data/Alberta summary.xlsx","Alberta","Total Sector",FALSE,"Jobs",0.00208596612228969,0.00193945086295625,0.00133973386913743,0.00536515065717977
"7","data/Alberta summary.xlsx","Alberta","BS113000",TRUE,"Output",1,0.49775728046814,0.184611171922535,1.68236845239068
"8","data/Alberta summary.xlsx","Alberta","BS113000",TRUE,"GDP",0.368489590513003,0.228479547306421,0.11488058124209,0.711849719061513
"9","data/Alberta summary.xlsx","Alberta","BS113000",TRUE,"Jobs",0.00264294549792215,0.00127848403285392,0.000896996474979069,0.00481842600575513
"10","data/Alberta summary.xlsx","Alberta","BS113000",FALSE,"Output",1,0.679903894080548,0.289183663939966,1.96908750838006
"11","data/Alberta summary.xlsx","Alberta","BS113000",FALSE,"GDP",0.368489590513003,0.31385608701787,0.170571693589171,0.852917344800821
"12","data/Alberta summary.xlsx","Alberta","BS113000",FALSE,"Jobs",0.00264294549792215,0.001965177772346,0.00140971637948756,0.00601783946731427
"13","data/Alberta summary.xlsx","Alberta","BS115300",TRUE,"Output",1,0.536408419646422,0.276284301331413,1.81269272097784
"14","data/Alberta summary.xlsx","Alberta","BS115300",TRUE,"GDP",0.459189713236045,0.250561321811044,0.171999910971098,0.881750946018187
"15","data/Alberta summary.xlsx","Alberta","BS115300",TRUE,"Jobs",0.00465884273905501,0.00155857127966187,0.00134430193738681,0.00756171595610369
"16","data/Alberta summary.xlsx","Alberta","BS115300",FALSE,"Output",1,0.765047149361227,0.4240206822275,2.18906776020994
"17","data/Alberta summary.xlsx","Alberta","BS115300",FALSE,"GDP",0.459189713236045,0.355292842133044,0.250124146761742,1.06460666428948
"18","data/Alberta summary.xlsx","Alberta","BS115300",FALSE,"Jobs",0.00465884273905501,0.00240784442530717,0.00206365276170394,0.00913033966405245
"19","data/Alberta summary.xlsx","Alberta","BS321000",TRUE,"Output",1,0.301608024666456,0.170703372581308,1.47231139724776
"20","data/Alberta summary.xlsx","Alberta","BS321000",TRUE,"GDP",0.35296920572774,0.153224653864732,0.106228259482232,0.612422119074703
"21","data/Alberta summary.xlsx","Alberta","BS321000",TRUE,"Jobs",0.00230912338838994,0.00106715296552717,0.000829924927718079,0.00420620128163519
"22","data/Alberta summary.xlsx","Alberta","BS321000",FALSE,"Output",1,0.452850772662257,0.26902066332969,1.72187138612745
"23","data/Alberta summary.xlsx","Alberta","BS321000",FALSE,"GDP",0.35296920572774,0.226556498906077,0.158657914520007,0.738183592715673
"24","data/Alberta summary.xlsx","Alberta","BS321000",FALSE,"Jobs",0.00230912338838994,0.00171974248453988,0.00131256752703107,0.00534143321668279
"25","data/Alberta summary.xlsx","Alberta","BS321100",TRUE,"Output",1,0.265579696112067,0.153061471305669,1.41864116741774
"26","data/Alberta summary.xlsx","Alberta","BS321100",TRUE,"GDP",0.337484810785091,0.134909364899703,0.0952201783469236,0.567614354031718
"27","data/Alberta summary.xlsx","Alberta","BS321100",TRUE,"Jobs",0.00177468904938437,0.000926988962301065,0.000743867981402855,0.00344554599308829
"28","data/Alberta summary.xlsx","Alberta","BS321100",FALSE,"Output",1,0.414448457829927,0.244529403091876,1.65897781409173
"29","data/Alberta summary.xlsx","Alberta","BS321100",FALSE,"GDP",0.337484810785091,0.207520068419913,0.144264018385974,0.689268872762005
"30","data/Alberta summary.xlsx","Alberta","BS321100",FALSE,"Jobs",0.00177468904938437,0.0015781420088018,0.00119430696557367,0.00454713785166528
"31","data/Alberta summary.xlsx","Alberta","BS321200",TRUE,"Output",1,0.323493329843956,0.159583973280606,1.48307730312456
"32","data/Alberta summary.xlsx","Alberta","BS321200",TRUE,"GDP",0.385998631326684,0.161178596942222,0.0993247305203938,0.6465019587893
"33","data/Alberta summary.xlsx","Alberta","BS321200",TRUE,"Jobs",0.00205265585479669,0.00101679753959397,0.000775909858679425,0.00384536325307009
"34","data/Alberta summary.xlsx","Alberta","BS321200",FALSE,"Output",1,0.458673276842817,0.249573244987446,1.70824647656124
"35","data/Alberta summary.xlsx","Alberta","BS321200",FALSE,"GDP",0.385998631326684,0.226083431463692,0.147159971504984,0.759242010293475
"36","data/Alberta summary.xlsx","Alberta","BS321200",FALSE,"Jobs",0.00205265585479669,0.00158397623946392,0.00121681129016743,0.00485344321801737
"37","data/Alberta summary.xlsx","Alberta","BS321900",TRUE,"Output",1,0.366555102729642,0.234584730481085,1.60113983321073
"38","data/Alberta summary.xlsx","Alberta","BS321900",TRUE,"GDP",0.346177456736109,0.190900418552621,0.146037589808944,0.683115465097675
"39","data/Alberta summary.xlsx","Alberta","BS321900",TRUE,"Jobs",0.00412622937600633,0.00151887992085417,0.00114120644825373,0.00678631574511423
"40","data/Alberta summary.xlsx","Alberta","BS321900",FALSE,"Output",1,0.547793550580342,0.363596046169295,1.91138953195604
"41","data/Alberta summary.xlsx","Alberta","BS321900",FALSE,"GDP",0.346177456736109,0.278555801235919,0.214341817224019,0.839075040841974
"42","data/Alberta summary.xlsx","Alberta","BS321900",FALSE,"Jobs",0.00412622937600633,0.00230081680735741,0.00177196116476886,0.00819900710993434
"43","data/Alberta summary.xlsx","Alberta","BS322000",TRUE,"Output",1,0.385301060425684,0.147244170821351,1.53254523124704
"44","data/Alberta summary.xlsx","Alberta","BS322000",TRUE,"GDP",0.30132754211054,0.193896417984485,0.0913968035189346,0.58662076361396
"45","data/Alberta summary.xlsx","Alberta","BS322000",TRUE,"Jobs",0.0010735957826975,0.00123245464598092,0.000712427794665421,0.00301847822334384
"46","data/Alberta summary.xlsx","Alberta","BS322000",FALSE,"Output",1,0.639902010077312,0.258475255301863,1.89837720452025
"47","data/Alberta summary.xlsx","Alberta","BS322000",FALSE,"GDP",0.30132754211054,0.314143053620082,0.152644869338971,0.76811543280243
"48","data/Alberta summary.xlsx","Alberta","BS322000",FALSE,"Jobs",0.0010735957826975,0.00228747936933066,0.00127027299106576,0.0046313479194274
"49","data/Alberta summary.xlsx","Alberta","BS322100",TRUE,"Output",1,0.404054229237904,0.14292575291858,1.54697998215648
"50","data/Alberta summary.xlsx","Alberta","BS322100",TRUE,"GDP",0.298957693717036,0.20352071920943,0.088655400113747,0.591133813040213
"51","data/Alberta summary.xlsx","Alberta","BS322100",TRUE,"Jobs",0.000867602949783707,0.00125896661011465,0.000690635556224535,0.00281720511612289
"52","data/Alberta summary.xlsx","Alberta","BS322100",FALSE,"Output",1,0.683007379433718,0.257927305253042,1.9409346205587
"53","data/Alberta summary.xlsx","Alberta","BS322100",FALSE,"GDP",0.298957693717036,0.335145125019977,0.1523630121458,0.786465796882375
"54","data/Alberta summary.xlsx","Alberta","BS322100",FALSE,"Jobs",0.000867602949783707,0.00241196868450673,0.00126977629092028,0.00454934768953018
"55","data/Alberta summary.xlsx","Alberta","BS322200",TRUE,"Output",1,0.267137216576362,0.174454551299726,1.44159176787609
"56","data/Alberta summary.xlsx","Alberta","BS322200",TRUE,"GDP",0.31625997290643,0.133253630710401,0.108670404960208,0.558184008577039
"57","data/Alberta summary.xlsx","Alberta","BS322200",TRUE,"Jobs",0.00237155801959234,0.00106540258027328,0.000849740836806465,0.00428670143667209
"58","data/Alberta summary.xlsx","Alberta","BS322200",FALSE,"Output",1,0.368294785483491,0.261927892269998,1.63022263749337
"59","data/Alberta summary.xlsx","Alberta","BS322200",FALSE,"GDP",0.31625997290643,0.181808859325495,0.154420853417508,0.652489664303642
"60","data/Alberta summary.xlsx","Alberta","BS322200",FALSE,"Jobs",0.00237155801959234,0.00150307135039881,0.00127340270196025,0.00514803192398534
"61","data/British Columbia summary.xlsx","British Columbia","Total Sector",TRUE,"Output",1,0.309269519220567,0.198666862812196,1.50793638203276
"62","data/British Columbia summary.xlsx","British Columbia","Total Sector",TRUE,"GDP",0.268050973988397,0.158400759445337,0.129416763976424,0.555868497410157
"63","data/British Columbia summary.xlsx","British Columbia","Total Sector",TRUE,"Jobs",0.0023641487467248,0.0013884898113722,0.00109360840062869,0.00484624695872569
"64","data/British Columbia summary.xlsx","British Columbia","Total Sector",FALSE,"Output",1,0.48263698711508,0.29088331952211,1.77352026483272
"65","data/British Columbia summary.xlsx","British Columbia","Total Sector",FALSE,"GDP",0.268050973988397,0.237120722363311,0.177740677523285,0.682912351710134
"66","data/British Columbia summary.xlsx","British Columbia","Total Sector",FALSE,"Jobs",0.0023641487467248,0.00193069988955926,0.00150162396734568,0.00579647244996406
"67","data/British Columbia summary.xlsx","British Columbia","BS113000",TRUE,"Output",1,0.358666441931966,0.200804440674408,1.55947088260637
"68","data/British Columbia summary.xlsx","British Columbia","BS113000",TRUE,"GDP",0.413016870077746,0.168951111822183,0.130745883887033,0.712713865786962
"69","data/British Columbia summary.xlsx","British Columbia","BS113000",TRUE,"Jobs",0.00229552357979975,0.00160554358226445,0.00110542588244407,0.00500649304450828
"70","data/British Columbia summary.xlsx","British Columbia","BS113000",FALSE,"Output",1,0.638877769182427,0.306729210864231,1.94560693032198
"71","data/British Columbia summary.xlsx","British Columbia","BS113000",FALSE,"GDP",0.413016870077746,0.2910315041444,0.187095104588835,0.891143452446695
"72","data/British Columbia summary.xlsx","British Columbia","BS113000",FALSE,"Jobs",0.00229552357979975,0.00236918660875465,0.00158071722916637,0.00624542723493207
"73","data/British Columbia summary.xlsx","British Columbia","BS115300",TRUE,"Output",1,0.312338230485339,0.342870053067008,1.65520828355235
"74","data/British Columbia summary.xlsx","British Columbia","BS115300",TRUE,"GDP",0.498001766554206,0.155638723370221,0.223329904517322,0.876970394441749
"75","data/British Columbia summary.xlsx","British Columbia","BS115300",TRUE,"Jobs",0.00638379734685899,0.0013426175373199,0.00188903278744557,0.00961544767162446
"76","data/British Columbia summary.xlsx","British Columbia","BS115300",FALSE,"Output",1,0.640774234041996,0.495118863412735,2.13589304351927
