"","province","pt","type","category","constrained","Industry","conversion.factor"
"143","Nova Scotia","NS","Direct","Output",NA,"Sawmills and wood preservation [BS321100]",99.6713412805472
"144","Nova Scotia","NS","Direct","Output",NA,"Support activities for forestry [BS115300]",16.2663234036356
"145","Nova Scotia","NS","Direct","Output",NA,"Veneer, plywood and engineered wood product manufacturing [BS321200]",22.1101049906018
"146","Nova Scotia","NS","Direct","Output",NA,"Total Forest Sector",398.759415152858
"147","Nova Scotia","NS","Direct","GDP",NA,"Converted paper product manufacturing [BS322200]",20.6599585566662
"148","Nova Scotia","NS","Direct","GDP",NA,"Forestry and logging [BS113000]",21.0302087100114
"149","Nova Scotia","NS","Direct","GDP",NA,"Other wood product manufacturing [BS321900]",8.13316170181781
"150","Nova Scotia","NS","Direct","GDP",NA,"Pulp, paper and paperboard mills [BS322100]",24.0539182956645
"151","Nova Scotia","NS","Direct","GDP",NA,"Sawmills and wood preservation [BS321100]",28.5092618075859
"152","Nova Scotia","NS","Direct","GDP",NA,"Support activities for forestry [BS115300]",10.0152666479896
"153","Nova Scotia","NS","Direct","GDP",NA,"Veneer, plywood and engineered wood product manufacturing [BS321200]",7.73205736902709
"154","Nova Scotia","NS","Direct","GDP",NA,"Total Forest Sector",120.133833088763
"155","Nova Scotia","NS","Direct","Jobs",NA,"Converted paper product manufacturing [BS3222]",0.000157356315171741
"156","Nova Scotia","NS","Direct","Jobs",NA,"Forestry and logging [BS113]",0.0002388113489077
"157","Nova Scotia","NS","Direct","Jobs",NA,"Other wood product manufacturing [BS3219]",0.000165686943622009
"158","Nova Scotia","NS","Direct","Jobs",NA,"Pulp, paper and paperboard mills [BS3221]",0.000202094875367628
"159","Nova Scotia","NS","Direct","Jobs",NA,"Sawmills and wood preservation [BS3211]",0.000277996156803408
"160","Nova Scotia","NS","Direct","Jobs",NA,"Support activities for forestry [BS1153]",0.00010953233703131
"161","Nova Scotia","NS","Direct","Jobs",NA,"Veneer, plywood and engineered wood product manufacturing [BS3212]",9.74992070475883e-05
"162","Nova Scotia","NS","Direct","Jobs",NA,"Total Forest Sector",0.00124897718395138
"163","Ontario","ON","Direct","Output",NA,"Converted paper product manufacturing [BS322200]",390.987181506201
"164","Ontario","ON","Direct","Output",NA,"Forestry and logging [BS113000]",82.9806405840512
"165","Ontario","ON","Direct","Output",NA,"Other wood product manufacturing [BS321900]",154.254224126142
"166","Ontario","ON","Direct","Output",NA,"Pulp, paper and paperboard mills [BS322100]",207.700498127941
"167","Ontario","ON","Direct","Output",NA,"Sawmills and wood preservation [BS321100]",114.828443412033
"168","Ontario","ON","Direct","Output",NA,"Support activities for forestry [BS115300]",19.2946342486093
"169","Ontario","ON","Direct","Output",NA,"Veneer, plywood and engineered wood product manufacturing [BS321200]",109.315690769573
"170","Ontario","ON","Direct","Output",NA,"Total Forest Sector",1079.36131277455
"171","Ontario","ON","Direct","GDP",NA,"Converted paper product manufacturing [BS322200]",130.587785045652
"172","Ontario","ON","Direct","GDP",NA,"Forestry and logging [BS113000]",28.2329729858116
"173","Ontario","ON","Direct","GDP",NA,"Other wood product manufacturing [BS321900]",54.6804723545877
"174","Ontario","ON","Direct","GDP",NA,"Pulp, paper and paperboard mills [BS322100]",63.495391256511
"175","Ontario","ON","Direct","GDP",NA,"Sawmills and wood preservation [BS321100]",34.2970008925174
